,Date,Year,Name,Amount,URL,Acquirer,Notes
344,June,2015,Brooks Institute,undisclosed,http://www.snl.com,gphomestay,
345,June,2015,First Class,undisclosed,http://www.businesswire.com/,Kuepa,
346,June,2015,Market Motive,"$10,000,000",https://www.edsurge.com/n/2015-06-24-simplilearn-acquires-market-motive-to-combat-skills-gap,Simplilearn,
347,June,2015,Student Sync,undisclosed,http://www.activedirectorystudentsync.com/press-release,Level Data,
348,June,2015,Popforms,undisclosed,http://www.prnewswire.com/news-releases/safari-acquires-technology-leadership-training-company-popforms-300104278.html,Safari Media,
349,July,2015,McGraw-Hill Education's testing business,undisclosed,http://blogs.edweek.org/edweek/marketplacek12/2015/07/mcgraw-hill_education_sells_bulk_of_testing_business_to_data_recognition_corp.html,Data Recognition Corporation,
350,July,2015,Iron Yard,undisclosed,http://chronicle.com/article/article-content/231247/,Apollo Education Group,
351,July,2015,X-Ray Analytics,undisclosed,http://www.educationdive.com/news/blackboard-acquires-x-ray-analytics/401773/,Blackboard,
352,July,2015,Quipper,$39 million,https://www.edsurge.com/n/2015-07-05-japan-s-largest-staffing-company-acquires-london-edtech-startup-quipper-for-39m,"Recruit Holdings,",
353,July,2015,Inigral (Uversity),undisclosed,https://www.edsurge.com/n/2015-07-08-targetx-a-crm-for-higher-education-acquires-uversity,TargetX,
354,July,2015,Hackhands,undisclosed,https://www.edsurge.com/n/2015-07-10-pluralsight-snaps-up-live-help-at-hackhands,Pluralsight,
355,July,2015,Promethean,"$130,000,000",https://www.edsurge.com/n/2015-07-12-netdragon-to-snap-up-promethean-world-for-130-million,NetDragon,
356,July,2015,Versifit Technologies,undisclosed,http://www.techlearning.com/thewire/atomic-learning-acquires-versifit-technologies-to-bolster-professional-development-through-data/1224/view,Atomic Learning,
357,July,2015,The Financial Times,"$1,300,000,000",http://www.edukwest.com/pearson-ft-nikkei/,Nikkei,Sold by Pearson
358,July,2015,Courseload,undisclosed,http://www.prnewswire.com/news-releases/unizin-acquires-courseload-software-300115714.html,Unizin,
359,July,2015,BlikBook,undisclosed,http://www.prweb.com/releases/2015/07/prweb12854557.htm,Civitas Learning,
360,July,2015,AllClasses.com,undisclosed,http://www.bizjournals.com/boston/blog/techflash/2015/07/educational-tech-company-noodle-acquires-boston.html,Noodle,
361,August,2015,The Economist,"$730,000,000",https://qz.com/477743/the-economist-is-being-sold-to-rich-italian-investors-and-to-the-economist-itself/,The Agnelli Family,Sold by Pearson
362,August,2015,Smart Tuition,"$190,000,000",https://www.edsurge.com/n/2015-08-10-blackbaud-to-buy-smart-tuition-for-190-million,Blackbaud,
363,August,2015,Nivel Siete,undisclosed,http://www.prnewswire.com/news-releases/blackboard-acquires-nivel-siete-300128157.html,Blackboard,
364,August,2015,LendLayer,undisclosed,http://fortune.com/2015/08/05/affirm-acquires-lendlayer-to-bolster-education-loans/,Affirm,
365,August,2015,MeeGenius,undisclosed,http://www.marketwatch.com/story/houghton-mifflin-harcourt-acquires-ebook-and-technology-assets-from-meegenius-strengthens-at-home-digital-content-offering-for-early-learners-2015-08-11,Houghton Mifflin Harcourt,
366,August,2015,Learning Matters,undisclosed,http://scholasticadministrator.typepad.com/thisweekineducation/2015/08/who-approached-whom-ginny-merrow-knowing-retired-board-we-have-a-couple-of-talented-productive-people-in-house-mmpro.html,Education Week,
367,August,2015,Ellucian,undisclosed,https://www.insidehighered.com/quicktakes/2015/08/17/new-owners-ellucian,TPG Capital,
368,August,2015,Bearface Instructional Technologies,undisclosed,https://www.edsurge.com/news/2015-08-24-bearface-instructional-technologies-gobbled-by-data-analytics-startup,Perceivant,
369,September,2015,National Geographic,"$725,000,000",http://www.buzzfeed.com/tomgara/rupert-murdoch-is-buying-national-geographic#.uxOveDYLv,21st Century Fox,
370,September,2015,Kaplan Higher Education campuses,undisclosed,https://www.insidehighered.com/quicktakes/2015/09/08/purchase-kaplan-campuses-finalized,Education Corporation of America,
371,September,2015,Langrich,undisclosed,https://www.edsurge.com/news/2015-09-10-englishcentral-acquires-japanese-online-tutoring-company-langrich,EnglishCentral,
372,September,2015,Learning Objects,undisclosed,http://campustechnology.com/articles/2015/09/22/learning-objects-acquired-by-cengage.aspx,Cengage Learning,
373,September,2015,FirstLeap,undisclosed,https://www.edsurge.com/news/2015-09-22-tal-education-group-acquires-chinese-tutoring-service-firstleap-education,TAL Education,
374,September,2015,Neodemia,undisclosed,http://us3.campaign-archive2.com/?u=e8f129fd8c969e04b6b95b864&id=f098c2373e,Gutenberg Technology,
375,October,2015,Amplify,undisclosed,http://www.buzzfeed.com/mollyhensleyclancy/joel-klein-is-buying-rupert-murdochs-failed-education-biz#.wcq9OvMY9,Joel Klein and other Amplify execs,Emerson Collective was one of the backers
376,October,2015,Mobile Makers Academy,undisclosed,https://www.edsurge.com/news/2015-09-30-hack-reactor-reorganizes-acquires-mobile-makers-academy,Hack Reactor,
377,October,2015,WeeJee Learning,undisclosed,https://www.edsurge.com/news/2015-09-25-principled-technologies-acquires-weejee-learning-to-expand-enterprise-learning-services,Principled Technologies,
378,October,2015,Media Core,undisclosed,https://www.edsurge.com/news/2015-10-02-workday-announces-workday-learning-acquires-mediacore,Work Day,
379,October,2015,Ex Libris,undisclosed,http://www.proquest.com/about/news/2015/ProQuest-and-Ex-Libris-Join-to-Accelerate-Innovation-for-Libraries-Worldwide.html,ProQuest,
380,October,2015,3M's library division,undisclosed,http://www.bibliotheca.com/3/index.php/en-us/enews-media/global-press-releases/529-bibliotheca-announces-significant-expansion-us,Bibliotheca,
381,October,2015,Pathbrite,undisclosed,http://news.cengage.com/corporate/cengage-learning-acquires-pathbrites-best-in-class-eportfolio-solution/,Cengage Learning,
382,November,2015,InfoSnap,undisclosed,https://www.edsurge.com/news/2015-11-06-powerschool-snaps-up-infosnap-to-simply-student-enrollment-process,PowerSchool,
383,November,2015,Double Line Partners,undisclosed,https://www.edsurge.com/news/2015-11-03-dell-foundation-sells-double-line-partners-developer-of-ed-fi-technology,Cross Street LLC,
384,December,2015,Blue Canary,undisclosed,https://campustechnology.com/articles/2015/12/01/blackboard-acquires-predictive-analytics-company-blue-canary.aspx,Blackboard,
385,December,2015,Next University,undisclosed,https://www.edsurge.com/news/2015-12-09-open-english-acquires-next-university-to-offer-digital-technology-courses-to-esl-students,Open English,
386,December,2015,Career Partner GmbH,"$105,000,000",https://www.edsurge.com/news/2015-12-14-apollo-global-acquires-career-partner-gmbh-for-105m,Apollo Education,
387,December,2015,LexisNexis,"$2,080,000",http://www.thebookseller.com/news/bloomsbury-buys-relx-law-assets-318795,Bloomsbury Publishing,
